TIME STAMP,SET POINT,OFFSET,MISSING DATA POINTS,AREA TEMPERATURE,AHU OPERATIONAL STATUS,ACTUATOR OUTPUT,ACTUATOR FEEDBACK,VFD OUTPUT,VFD FEEDBACK
2018-08-14 00:00:50,24.5,0.5,0,24.63,on,63,65,41,41.0
2018-08-14 00:01:52,24.5,0.5,0,24.53,on,62,65,41,41.0
2018-08-14 00:02:54,24.5,0.5,0,24.46,on,62,65,41,41.0
2018-08-14 00:03:56,24.5,0.5,0,24.37,on,61,65,41,41.0
2018-08-14 00:04:59,24.5,0.5,0,24.28,on,60,64,40,41.0
2018-08-14 00:06:01,24.5,0.5,0,24.21,on,60,62,40,40.0
2018-08-14 00:07:03,24.5,0.5,0,24.19,on,60,62,40,40.0
2018-08-14 00:08:05,24.5,0.5,0,24.14,on,60,62,40,40.0
2018-08-14 00:09:07,24.5,0.5,0,24.1,on,60,62,40,40.0
2018-08-14 00:10:09,24.5,0.5,0,24.05,on,60,62,40,40.0
2018-08-14 00:11:11,24.5,0.5,0,24.01,on,60,62,40,40.0
2018-08-14 00:12:14,24.5,0.5,0,23.95,on,10,62,33,40.0
2018-08-14 00:13:16,24.5,0.5,0,23.92,on,10,36,33,33.0
2018-08-14 00:14:18,24.5,0.5,0,23.89,on,10,11,33,33.0
2018-08-14 00:15:20,24.5,0.5,0,23.92,on,10,10,33,33.0
2018-08-14 00:16:22,24.5,0.5,0,23.94,on,10,11,33,33.0
2018-08-14 00:17:24,24.5,0.5,0,24.02,on,10,11,33,33.0
2018-08-14 00:18:26,24.5,0.5,0,24.07,on,10,11,33,33.0
2018-08-14 00:19:28,24.5,0.5,0,24.19,on,10,11,33,33.0
2018-08-14 00:20:31,24.5,0.5,0,24.25,on,10,11,33,33.0
2018-08-14 00:21:33,24.5,0.5,0,24.31,on,10,11,33,33.0
2018-08-14 00:22:35,24.5,0.5,0,24.37,on,10,11,33,33.0
2018-08-14 00:23:37,24.5,0.5,0,24.42,on,10,10,33,33.0
2018-08-14 00:24:39,24.5,0.5,0,24.48,on,10,11,33,33.0
2018-08-14 00:25:41,24.5,0.5,0,24.53,on,10,11,33,33.0
2018-08-14 00:26:44,24.5,0.5,0,24.53,on,10,11,33,33.0
2018-08-14 00:27:46,24.5,0.5,0,24.59,on,10,11,33,33.0
2018-08-14 00:28:48,24.5,0.5,0,24.6,on,10,11,33,33.0
2018-08-14 00:29:50,24.5,0.5,0,24.63,on,10,10,33,33.0
2018-08-14 00:30:52,24.5,0.5,0,24.71,on,10,10,33,33.0
2018-08-14 00:31:54,24.5,0.5,0,24.73,on,10,11,33,33.0
2018-08-14 00:32:56,24.5,0.5,0,24.76,on,10,11,33,33.0
2018-08-14 00:33:59,24.5,0.5,0,24.79,on,10,11,33,33.0
2018-08-14 00:35:01,24.5,0.5,0,24.81,on,10,11,33,33.0
2018-08-14 00:36:03,24.5,0.5,0,24.86,on,10,11,33,33.0
2018-08-14 00:37:05,24.5,0.5,0,24.88,on,10,11,33,33.0
2018-08-14 00:38:07,24.5,0.5,0,24.88,on,10,10,33,33.0
2018-08-14 00:39:09,24.5,0.5,0,24.94,on,10,11,33,33.0
2018-08-14 00:40:11,24.5,0.5,0,24.95,on,10,11,33,33.0
2018-08-14 00:41:14,24.5,0.5,0,24.97,on,10,11,33,33.0
2018-08-14 00:42:16,24.5,0.5,0,24.97,on,10,11,33,33.0
2018-08-14 00:43:18,24.5,0.5,0,24.97,on,10,11,33,33.0
2018-08-14 00:44:20,24.5,0.5,0,25.01,on,10,11,33,33.0
2018-08-14 00:45:22,24.5,0.5,0,25.03,on,65,11,41,33.0
2018-08-14 00:46:24,24.5,0.5,0,25.03,on,66,29,42,41.0
2018-08-14 00:47:26,24.5,0.5,0,25.05,on,67,68,43,42.0
2018-08-14 00:48:28,24.5,0.5,0,25.01,on,68,70,43,43.0
2018-08-14 00:49:31,24.5,0.5,0,24.92,on,69,71,44,43.0
2018-08-14 00:50:33,24.5,0.5,0,24.82,on,69,71,44,44.0
2018-08-14 00:51:35,24.5,0.5,0,24.69,on,69,71,44,44.0
2018-08-14 00:52:37,24.5,0.5,0,24.62,on,69,71,44,44.0
2018-08-14 00:53:39,24.5,0.5,0,24.5,on,68,71,44,44.0
2018-08-14 00:54:41,24.5,0.5,0,24.39,on,67,71,44,44.0
2018-08-14 00:55:44,24.5,0.5,0,24.31,on,67,71,44,44.0
2018-08-14 00:56:46,24.5,0.5,0,24.21,on,66,70,43,44.0
2018-08-14 00:57:48,24.5,0.5,0,24.13,on,65,70,43,43.0
2018-08-14 00:58:50,24.5,0.5,0,24.04,on,64,68,42,43.0
2018-08-14 00:59:52,24.5,0.5,0,23.97,on,10,66,33,25.4
2018-08-14 01:00:54,24.5,0.5,0,23.89,off,10,16,0,0.0
2018-08-14 01:01:56,24.5,0.5,0,23.91,off,10,11,0,0.0
2018-08-14 01:02:59,24.5,0.5,0,24.1,off,10,11,0,0.0
2018-08-14 01:04:01,24.5,0.5,0,24.21,off,10,11,0,0.0
2018-08-14 01:05:03,24.5,0.5,0,24.33,off,10,11,0,0.0
2018-08-14 01:06:05,24.5,0.5,0,24.45,off,10,11,0,0.0
2018-08-14 01:07:07,24.5,0.5,0,24.56,off,10,11,0,0.0
2018-08-14 01:08:09,24.5,0.5,0,24.64,off,10,11,0,0.0
2018-08-14 01:09:11,24.5,0.5,0,24.72,off,10,11,0,0.0
2018-08-14 01:10:14,24.5,0.5,0,24.78,off,10,11,0,0.0
2018-08-14 01:11:16,24.5,0.5,0,24.88,off,10,11,0,0.0
2018-08-14 01:12:18,24.5,0.5,0,24.94,off,10,10,0,0.0
2018-08-14 01:13:20,24.5,0.5,0,24.99,off,10,11,0,0.0
2018-08-14 01:14:22,24.5,0.5,0,25.06,off,10,11,0,0.0
2018-08-14 01:15:24,24.5,0.5,0,25.08,off,10,11,0,0.0
2018-08-14 01:16:26,24.5,0.5,0,25.1,off,10,11,0,0.0
2018-08-14 01:17:28,24.5,0.5,0,25.16,off,10,11,0,0.0
2018-08-14 01:18:30,24.5,0.5,0,25.18,off,10,11,0,0.0
2018-08-14 01:19:33,24.5,0.5,0,25.23,off,10,11,0,0.0
2018-08-14 01:20:35,24.5,0.5,0,25.24,off,10,11,0,0.0
2018-08-14 01:21:37,24.5,0.5,0,25.25,off,10,10,0,0.0
2018-08-14 01:22:39,24.5,0.5,0,25.26,off,10,11,0,0.0
2018-08-14 01:23:41,24.5,0.5,0,25.31,off,10,11,0,0.0
2018-08-14 01:24:43,24.5,0.5,0,25.33,off,10,11,0,0.0
2018-08-14 01:25:45,24.5,0.5,0,25.36,off,10,10,0,0.0
2018-08-14 01:26:48,24.5,0.5,0,25.38,off,10,10,0,0.0
2018-08-14 01:27:50,24.5,0.5,0,25.42,off,10,11,0,0.0
2018-08-14 01:28:52,24.5,0.5,0,25.43,off,10,11,0,0.0
2018-08-14 01:29:54,24.5,0.5,0,25.46,off,10,11,0,0.0
2018-08-14 01:30:56,24.5,0.5,0,25.47,off,10,11,0,0.0
2018-08-14 01:31:58,24.5,0.5,0,25.48,off,10,10,0,0.0
2018-08-14 01:33:00,24.5,0.5,0,25.48,off,10,11,0,0.0
2018-08-14 01:34:02,24.5,0.5,0,25.51,off,10,11,0,0.0
2018-08-14 01:35:05,24.5,0.5,0,25.54,off,10,11,0,0.0
2018-08-14 01:36:07,24.5,0.5,0,25.53,off,10,11,0,0.0
2018-08-14 01:37:09,24.5,0.5,0,25.55,off,10,11,0,0.0
2018-08-14 01:38:11,24.5,0.5,0,25.58,off,10,10,0,0.0
2018-08-14 01:39:13,24.5,0.5,0,25.6,off,10,11,0,0.0
2018-08-14 01:40:15,24.5,0.5,0,25.61,off,10,11,0,0.0
2018-08-14 01:41:17,24.5,0.5,0,25.62,off,10,11,0,0.0
2018-08-14 01:42:19,24.5,0.5,0,25.63,off,10,11,0,0.0
2018-08-14 01:43:22,24.5,0.5,0,25.63,off,10,11,0,0.0
2018-08-14 01:44:24,24.5,0.5,0,25.62,off,10,11,0,0.0
2018-08-14 01:45:26,24.5,0.5,0,25.64,off,10,11,0,0.0
