TIME STAMP,SET POINT,OFFSET,MISSING DATA POINTS,AREA TEMPERATURE,AHU OPERATIONAL STATUS,ACTUATOR OUTPUT,ACTUATOR FEEDBACK,VFD OUTPUT,VFD FEEDBACK
2018-08-11 00:00:06,24.5,0.5,0,24.83,on,10,11,33,33.0
2018-08-11 00:01:08,24.5,0.5,0,24.84,on,10,10,33,33.0
2018-08-11 00:02:10,24.5,0.5,0,24.84,on,10,11,33,33.0
2018-08-11 00:03:12,24.5,0.5,0,24.86,on,10,11,33,33.0
2018-08-11 00:04:15,24.5,0.5,0,24.84,on,10,11,33,33.0
2018-08-11 00:05:17,24.5,0.5,0,24.86,on,10,11,33,33.0
2018-08-11 00:06:19,24.5,0.5,0,24.88,on,10,10,33,33.0
2018-08-11 00:07:21,24.5,0.5,0,24.91,on,10,11,33,33.0
2018-08-11 00:08:23,24.5,0.5,0,24.92,on,10,11,33,33.0
2018-08-11 00:09:25,24.5,0.5,0,24.93,on,10,11,33,33.0
2018-08-11 00:10:27,24.5,0.5,0,24.96,on,10,11,33,33.0
2018-08-11 00:11:29,24.5,0.5,0,24.97,on,10,11,33,33.0
2018-08-11 00:12:32,24.5,0.5,0,24.96,on,10,10,33,33.0
2018-08-11 00:13:34,24.5,0.5,0,24.96,on,10,11,33,33.0
2018-08-11 00:14:36,24.5,0.5,0,25.01,on,10,11,33,33.0
2018-08-11 00:15:38,24.5,0.5,0,25.04,on,65,11,41,33.0
2018-08-11 00:16:40,24.5,0.5,0,25.05,on,66,15,42,41.0
2018-08-11 00:17:42,24.5,0.5,0,25.04,on,67,68,43,42.0
2018-08-11 00:18:44,24.5,0.5,0,24.99,on,68,68,43,43.0
2018-08-11 00:19:46,24.5,0.5,0,24.92,on,69,70,44,43.0
2018-08-11 00:20:49,24.5,0.5,0,24.84,on,69,71,44,44.0
2018-08-11 00:21:51,24.5,0.5,0,24.75,on,69,71,44,44.0
2018-08-11 00:22:53,24.5,0.5,0,24.63,on,69,71,44,44.0
2018-08-11 00:23:55,24.5,0.5,0,24.56,on,69,71,44,44.0
2018-08-11 00:24:57,24.5,0.5,0,24.45,on,68,71,44,44.0
2018-08-11 00:25:59,24.5,0.5,0,24.37,on,67,71,44,44.0
2018-08-11 00:27:01,24.5,0.5,0,24.28,on,67,69,44,44.0
2018-08-11 00:28:04,24.5,0.5,0,24.19,on,66,69,43,44.0
2018-08-11 00:29:06,24.5,0.5,0,24.12,on,65,69,43,43.0
2018-08-11 00:30:08,24.5,0.5,0,24.06,on,64,67,43,43.0
2018-08-11 00:31:10,24.5,0.5,0,24.0,on,10,67,33,43.0
2018-08-11 00:32:12,24.5,0.5,0,23.95,on,10,33,33,41.87
2018-08-11 00:33:14,24.5,0.5,0,23.92,on,10,11,33,33.0
2018-08-11 00:34:16,24.5,0.5,0,23.94,on,10,11,33,33.0
2018-08-11 00:35:18,24.5,0.5,0,23.97,on,10,11,33,33.0
2018-08-11 00:36:21,24.5,0.5,0,24.0,on,10,11,33,33.0
2018-08-11 00:37:23,24.5,0.5,0,24.05,on,10,11,33,33.0
2018-08-11 00:38:25,24.5,0.5,0,24.1,on,10,11,33,33.0
2018-08-11 00:39:27,24.5,0.5,0,24.16,on,10,11,33,33.0
2018-08-11 00:40:29,24.5,0.5,0,24.21,on,10,11,33,33.0
2018-08-11 00:41:31,24.5,0.5,0,24.28,on,10,11,33,33.0
2018-08-11 00:42:33,24.5,0.5,0,24.31,on,10,11,33,33.0
2018-08-11 00:43:36,24.5,0.5,0,24.36,on,10,11,33,33.0
2018-08-11 00:44:38,24.5,0.5,0,24.39,on,10,11,33,33.0
2018-08-11 00:45:40,24.5,0.5,0,24.44,on,10,11,33,33.0
2018-08-11 00:46:42,24.5,0.5,0,24.47,on,10,11,33,33.0
2018-08-11 00:47:44,24.5,0.5,0,24.52,on,10,11,33,33.0
2018-08-11 00:48:46,24.5,0.5,0,24.56,on,10,11,33,33.0
2018-08-11 00:49:48,24.5,0.5,0,24.59,on,10,11,33,33.0
2018-08-11 00:50:51,24.5,0.5,0,24.6,on,10,11,33,33.0
2018-08-11 00:51:53,24.5,0.5,0,24.63,on,10,11,33,33.0
2018-08-11 00:52:55,24.5,0.5,0,24.65,on,10,10,33,33.0
2018-08-11 00:53:57,24.5,0.5,0,24.67,on,10,11,33,33.0
2018-08-11 00:54:59,24.5,0.5,0,24.71,on,10,11,33,33.0
2018-08-11 00:56:01,24.5,0.5,0,24.72,on,10,11,33,33.0
2018-08-11 00:57:03,24.5,0.5,0,24.74,on,10,11,33,33.0
2018-08-11 00:58:05,24.5,0.5,0,24.78,on,10,11,33,33.0
2018-08-11 00:59:08,24.5,0.5,0,24.77,on,10,11,33,33.0
2018-08-11 01:00:10,24.5,0.5,0,24.81,on,10,11,33,33.0
2018-08-11 01:01:12,24.5,0.5,0,24.88,on,10,11,33,33.0
2018-08-11 01:02:14,24.5,0.5,0,24.87,on,10,11,33,33.0
2018-08-11 01:03:16,24.5,0.5,0,24.9,on,10,11,33,33.0
2018-08-11 01:04:18,24.5,0.5,0,24.87,on,10,11,33,33.0
2018-08-11 01:05:20,24.5,0.5,0,24.91,on,10,11,33,33.0
2018-08-11 01:06:23,24.5,0.5,0,24.9,on,10,11,33,33.0
2018-08-11 01:07:25,24.5,0.5,0,24.92,on,10,11,33,33.0
2018-08-11 01:08:27,24.5,0.5,0,24.91,on,10,11,33,33.0
2018-08-11 01:09:29,24.5,0.5,0,24.94,on,10,10,33,33.0
2018-08-11 01:10:31,24.5,0.5,0,24.94,on,10,11,33,33.0
2018-08-11 01:11:33,24.5,0.5,0,24.95,on,10,11,33,33.0
2018-08-11 01:12:35,24.5,0.5,0,24.97,on,10,11,33,33.0
2018-08-11 01:13:38,24.5,0.5,0,24.98,on,10,10,33,33.0
2018-08-11 01:14:40,24.5,0.5,0,25.03,on,10,11,33,33.0
2018-08-11 01:15:42,24.5,0.5,0,25.03,on,65,10,41,33.0
2018-08-11 01:16:44,24.5,0.5,0,25.05,on,66,12,42,41.0
2018-08-11 01:17:46,24.5,0.5,0,25.06,on,67,68,43,42.0
2018-08-11 01:18:48,24.5,0.5,0,25.03,on,69,68,43,43.0
2018-08-11 01:19:50,24.5,0.5,0,24.99,on,70,69,44,43.0
2018-08-11 01:20:52,24.5,0.5,0,24.79,on,69,72,44,44.0
2018-08-11 01:21:55,24.5,0.5,0,24.73,on,69,73,44,44.0
2018-08-11 01:22:57,24.5,0.5,0,24.63,on,69,73,44,44.0
2018-08-11 01:23:59,24.5,0.5,0,24.56,on,69,73,44,44.0
2018-08-11 01:25:01,24.5,0.5,0,24.46,on,68,73,44,44.0
2018-08-11 01:26:03,24.5,0.5,0,24.37,on,68,71,44,44.0
2018-08-11 01:27:05,24.5,0.5,0,24.29,on,67,71,44,44.0
2018-08-11 01:28:07,24.5,0.5,0,24.17,on,66,69,43,44.0
2018-08-11 01:29:09,24.5,0.5,0,24.1,on,65,69,43,43.0
2018-08-11 01:30:12,24.5,0.5,0,24.05,on,64,68,43,43.0
2018-08-11 01:31:14,24.5,0.5,0,23.99,on,10,67,33,43.0
2018-08-11 01:32:16,24.5,0.5,0,23.92,on,10,35,33,39.9
2018-08-11 01:33:18,24.5,0.5,0,23.95,on,10,11,33,33.0
2018-08-11 01:34:20,24.5,0.5,0,23.95,on,10,11,33,33.0
2018-08-11 01:35:22,24.5,0.5,0,23.97,on,10,11,33,33.0
2018-08-11 01:36:24,24.5,0.5,0,23.98,on,10,11,33,33.0
2018-08-11 01:37:27,24.5,0.5,0,23.99,on,10,11,33,33.0
2018-08-11 01:38:29,24.5,0.5,0,24.04,on,10,11,33,33.0
2018-08-11 01:39:31,24.5,0.5,0,24.06,on,10,10,33,33.0
2018-08-11 01:40:33,24.5,0.5,0,24.13,on,10,10,33,33.0
2018-08-11 01:41:35,24.5,0.5,0,24.15,on,10,11,33,33.0
2018-08-11 01:42:37,24.5,0.5,0,24.2,on,10,11,33,33.0
2018-08-11 01:43:39,24.5,0.5,0,24.22,on,10,11,33,33.0
2018-08-11 01:44:41,24.5,0.5,0,24.28,on,10,11,33,33.0
2018-08-11 01:45:44,24.5,0.5,0,24.3,on,10,11,33,33.0
2018-08-11 01:46:46,24.5,0.5,0,24.33,on,10,11,33,33.0
2018-08-11 01:47:48,24.5,0.5,0,24.36,on,10,11,33,33.0
2018-08-11 01:48:50,24.5,0.5,0,24.38,on,10,11,33,33.0
2018-08-11 01:49:52,24.5,0.5,0,24.42,on,10,11,33,33.0
2018-08-11 01:50:54,24.5,0.5,0,24.46,on,10,11,33,33.0
2018-08-11 01:51:56,24.5,0.5,0,24.49,on,10,11,33,33.0
2018-08-11 01:52:59,24.5,0.5,0,24.51,on,10,10,33,33.0
2018-08-11 01:54:01,24.5,0.5,0,24.54,on,10,11,33,33.0
2018-08-11 01:55:03,24.5,0.5,0,24.56,on,10,11,33,33.0
2018-08-11 01:56:05,24.5,0.5,0,24.58,on,10,11,33,33.0
2018-08-11 01:57:07,24.5,0.5,0,24.6,on,10,11,33,33.0
2018-08-11 01:58:09,24.5,0.5,0,24.62,on,10,11,33,33.0
2018-08-11 01:59:11,24.5,0.5,0,24.62,on,10,11,33,33.0
2018-08-11 02:00:14,24.5,0.5,0,24.64,on,10,10,33,33.0
2018-08-11 02:01:16,24.5,0.5,0,24.67,on,10,11,33,33.0
2018-08-11 02:02:18,24.5,0.5,0,24.67,on,10,11,33,33.0
2018-08-11 02:03:20,24.5,0.5,0,24.67,on,10,11,33,33.0
2018-08-11 02:04:22,24.5,0.5,0,24.72,on,10,11,33,33.0
2018-08-11 02:05:24,24.5,0.5,0,24.75,on,10,11,33,33.0
2018-08-11 02:06:26,24.5,0.5,0,24.76,on,10,11,33,33.0
2018-08-11 02:07:29,24.5,0.5,0,24.75,on,10,11,33,33.0
2018-08-11 02:08:31,24.5,0.5,0,24.78,on,10,10,33,33.0
2018-08-11 02:09:33,24.5,0.5,0,24.81,on,10,11,33,33.0
2018-08-11 02:10:35,24.5,0.5,0,24.8,on,10,11,33,33.0
2018-08-11 02:11:37,24.5,0.5,0,24.8,on,10,11,33,33.0
2018-08-11 02:12:39,24.5,0.5,0,24.83,on,10,11,33,33.0
2018-08-11 02:13:41,24.5,0.5,0,24.83,on,10,11,33,33.0
2018-08-11 02:14:44,24.5,0.5,0,24.86,on,10,11,33,33.0
2018-08-11 02:15:46,24.5,0.5,0,24.87,on,10,11,33,33.0
2018-08-11 02:16:48,24.5,0.5,0,24.86,on,10,11,33,33.0
2018-08-11 02:17:50,24.5,0.5,0,24.88,on,10,11,33,33.0
2018-08-11 02:18:52,24.5,0.5,0,24.93,on,10,11,33,33.0
2018-08-11 02:19:54,24.5,0.5,0,24.92,on,10,10,33,33.0
2018-08-11 02:20:56,24.5,0.5,0,24.94,on,10,11,33,33.0
2018-08-11 02:21:59,24.5,0.5,0,24.95,on,10,10,33,33.0
2018-08-11 02:23:01,24.5,0.5,0,24.97,on,10,11,33,33.0
2018-08-11 02:24:03,24.5,0.5,0,24.98,on,10,10,33,33.0
2018-08-11 02:25:05,24.5,0.5,0,24.99,on,10,11,33,33.0
2018-08-11 02:26:07,24.5,0.5,0,25.02,on,10,11,33,33.0
2018-08-11 02:27:09,24.5,0.5,0,25.02,on,64,11,41,33.0
2018-08-11 02:28:11,24.5,0.5,0,25.04,on,66,31,42,41.0
2018-08-11 02:29:13,24.5,0.5,0,25.01,on,67,68,43,42.0
2018-08-11 02:30:16,24.5,0.5,0,24.96,on,68,69,43,43.0
2018-08-11 02:31:18,24.5,0.5,0,24.87,on,68,71,43,43.0
2018-08-11 02:32:20,24.5,0.5,0,24.79,on,68,71,44,43.0
2018-08-11 02:33:22,24.5,0.5,0,24.68,on,68,71,44,44.0
2018-08-11 02:34:24,24.5,0.5,0,24.6,on,68,71,44,44.0
2018-08-11 02:35:26,24.5,0.5,0,24.49,on,67,71,44,44.0
2018-08-11 02:36:28,24.5,0.5,0,24.35,on,67,71,43,44.0
2018-08-11 02:37:31,24.5,0.5,0,24.22,on,66,71,43,43.0
2018-08-11 02:38:33,24.5,0.5,0,24.16,on,65,71,43,43.0
2018-08-11 02:39:35,24.5,0.5,0,24.08,on,64,68,42,8.01
2018-08-11 02:40:37,24.5,0.5,0,24.05,off,10,68,0,0.0
2018-08-11 02:41:39,24.5,0.5,0,24.09,off,10,11,0,0.0
2018-08-11 02:42:41,24.5,0.5,0,24.19,off,10,11,0,0.0
2018-08-11 02:43:43,24.5,0.5,0,24.25,off,10,11,0,0.0
2018-08-11 02:44:45,24.5,0.5,0,24.35,off,10,11,0,0.0
2018-08-11 02:45:48,24.5,0.5,0,24.45,off,10,11,0,0.0
2018-08-11 02:46:50,24.5,0.5,0,24.52,off,10,11,0,0.0
2018-08-11 02:47:52,24.5,0.5,0,24.61,off,10,11,0,0.0
2018-08-11 02:48:54,24.5,0.5,0,24.64,off,10,11,0,0.0
2018-08-11 02:49:56,24.5,0.5,0,24.71,off,10,11,0,0.0
2018-08-11 02:50:58,24.5,0.5,0,24.74,off,10,11,0,0.0
2018-08-11 02:52:00,24.5,0.5,0,24.8,off,10,11,0,0.0
2018-08-11 02:53:02,24.5,0.5,0,24.84,off,10,10,0,0.0
2018-08-11 02:54:05,24.5,0.5,0,24.88,off,10,11,0,0.0
2018-08-11 02:55:07,24.5,0.5,0,24.94,off,10,11,0,0.0
